"","Education","MaritalStatus","HHIncome2"
"5121","College Grad","Married","20000-24999"
"5122","9 - 11th Grade","Divorced","<20000"
"5123","9 - 11th Grade","Divorced","<20000"
"5124","9 - 11th Grade","Divorced","<20000"
"5125","Some College","LivePartner","more 99999"
"5126","Some College","LivePartner","more 99999"
"5127","College Grad","Separated","<20000"
"5128","8th Grade","Married","25000-34999"
"5129","8th Grade","Married","25000-34999"
"5130","Some College","Widowed","<20000"
"5131","College Grad","Married","more 99999"
"5132","College Grad","Married","more 99999"
"5133","8th Grade","Married","25000-34999"
"5134","8th Grade","Married","20000-24999"
"5135","8th Grade","Married","20000-24999"
"5136","8th Grade","Married","20000-24999"
"5137","Some College","Separated","<20000"
"5138","High School","LivePartner","55000-64999"
"5139","High School","LivePartner","55000-64999"
"5140","High School","Married","<20000"
"5141","8th Grade","NeverMarried","25000-34999"
"5142","High School","Widowed","<20000"
"5143","Some College","Widowed","<20000"
"5144","9 - 11th Grade","Married","<20000"
"5145","High School","NeverMarried","35000-44999"
"5146","College Grad","Widowed","35000-44999"
"5147","High School","LivePartner","<20000"
"5148","College Grad","Married","more 99999"
"5149","Some College","NeverMarried","35000-44999"
"5150","Some College","NeverMarried","35000-44999"
"5151","9 - 11th Grade","LivePartner","<20000"
"5152","9 - 11th Grade","LivePartner","<20000"
"5153","9 - 11th Grade","LivePartner","<20000"
"5154","College Grad","Married","more 99999"
"5155","College Grad","Married","more 99999"
"5156","College Grad","Married","more 99999"
"5157","Some College","Divorced","<20000"
"5158","High School","Married","<20000"
"5159","College Grad","NeverMarried","<20000"
"5160","College Grad","NeverMarried","<20000"
"5161","College Grad","NeverMarried","<20000"
"5162","College Grad","NeverMarried","more 99999"
"5163","8th Grade","Married","35000-44999"
"5164","Some College","Married","more 99999"
"5165","Some College","Married","more 99999"
"5166","High School","Separated","<20000"
"5167","High School","Separated","<20000"
"5168","High School","Divorced","25000-34999"
"5169","Some College","Divorced","65000-74999"
"5170","Some College","Divorced","65000-74999"
"5171","High School","Divorced","75000-99999"
"5172","Some College","Widowed","20000-24999"
"5173","Some College","NeverMarried","<20000"
"5174","College Grad","Married","75000-99999"
"5175","Some College","LivePartner","35000-44999"
"5176","Some College","Married","55000-64999"
"5177","Some College","Married","75000-99999"
"5178","Some College","Married","75000-99999"
"5179","High School","Married","<20000"
"5180","College Grad","Married","65000-74999"
"5181","8th Grade","Widowed","more 99999"
"5182","9 - 11th Grade","Married","20000-24999"
"5183","9 - 11th Grade","Married","20000-24999"
"5184","Some College","NeverMarried","<20000"
"5185","9 - 11th Grade","Married","25000-34999"
"5186","Some College","Married","20000-24999"
"5187","Some College","Married","45000-54999"
"5188","Some College","Married","45000-54999"
"5189","Some College","Married","45000-54999"
"5190","Some College","Divorced","<20000"
"5191","High School","NeverMarried","35000-44999"
"5192","College Grad","Married","more 99999"
"5193","College Grad","NeverMarried","more 99999"
"5194","High School","NeverMarried","25000-34999"
"5195","College Grad","Married","75000-99999"
"5196","High School","Married","55000-64999"
"5197","High School","Married","more 99999"
"5198","High School","Married","more 99999"
"5199","College Grad","Married","65000-74999"
"5200","College Grad","Married","65000-74999"
"5201","College Grad","Married","65000-74999"
"5202","College Grad","Married","65000-74999"
"5203","College Grad","Married","65000-74999"
"5204","College Grad","Married","55000-64999"
"5205","9 - 11th Grade","Married","<20000"
"5206","9 - 11th Grade","NeverMarried","<20000"
"5207","9 - 11th Grade","NeverMarried","<20000"
"5208","Some College","Married","25000-34999"
"5209","Some College","Married","25000-34999"
"5210","Some College","Divorced","45000-54999"
"5211","Some College","Divorced","45000-54999"
"5212","Some College","Widowed","<20000"
"5213","Some College","Widowed","<20000"
"5214","College Grad","Separated","35000-44999"
"5215","8th Grade","Married","<20000"
"5216","8th Grade","Married","<20000"
"5217","9 - 11th Grade","Married","20000-24999"
"5218","Some College","NeverMarried","45000-54999"
"5219","Some College","NeverMarried","45000-54999"
"5220","Some College","NeverMarried","45000-54999"
"5221","Some College","NeverMarried","45000-54999"
"5222","College Grad","Married","more 99999"
"5223","Some College","Divorced","20000-24999"
"5224","Some College","Divorced","20000-24999"
"5225","Some College","Divorced","20000-24999"
"5226","Some College","Married","45000-54999"
"5227","Some College","Married","45000-54999"
"5228","College Grad","NeverMarried","55000-64999"
"5229","College Grad","NeverMarried","55000-64999"
"5230","College Grad","NeverMarried","55000-64999"
"5231","College Grad","NeverMarried","55000-64999"
"5232","Some College","Married","more 99999"
"5233","Some College","Married","more 99999"
"5234","Some College","Married","more 99999"
"5235","College Grad","Married","75000-99999"
"5236","Some College","Married","65000-74999"
"5237","Some College","Married","65000-74999"
"5238","Some College","Married","more 99999"
"5239","Some College","Married","more 99999"
"5240","Some College","Married","75000-99999"
"5241","College Grad","NeverMarried","<20000"
"5242","College Grad","NeverMarried","55000-64999"
"5243","College Grad","NeverMarried","75000-99999"
"5244","College Grad","NeverMarried","75000-99999"
"5245","8th Grade","Married","25000-34999"
"5246","College Grad","Married","more 99999"
"5247","High School","Separated","20000-24999"
"5248","Some College","Married","45000-54999"
"5249","Some College","Divorced","<20000"
"5250","Some College","Divorced","<20000"
"5251","Some College","Divorced","35000-44999"
"5252","Some College","Married","more 99999"
"5253","College Grad","Married","65000-74999"
"5254","8th Grade","Married","more 99999"
"5255","Some College","NeverMarried","<20000"
"5256","Some College","Widowed","more 99999"
"5257","9 - 11th Grade","Divorced","25000-34999"
"5258","9 - 11th Grade","Divorced","25000-34999"
"5259","Some College","Married","more 99999"
"5260","Some College","Married","more 99999"
"5261","Some College","Married","more 99999"
"5262","Some College","NeverMarried","75000-99999"
"5263","Some College","NeverMarried","75000-99999"
"5264","Some College","NeverMarried","75000-99999"
"5265","Some College","NeverMarried","<20000"
"5266","Some College","NeverMarried","<20000"
"5267","Some College","NeverMarried","<20000"
"5268","Some College","NeverMarried","35000-44999"
"5269","Some College","NeverMarried","35000-44999"
"5270","High School","NeverMarried","<20000"
"5271","High School","NeverMarried","<20000"
"5272","High School","NeverMarried","<20000"
"5273","8th Grade","NeverMarried","<20000"
"5274","8th Grade","NeverMarried","<20000"
"5275","9 - 11th Grade","Married","75000-99999"
"5276","College Grad","Married","more 99999"
"5277","Some College","NeverMarried","25000-34999"
"5278","9 - 11th Grade","Widowed","<20000"
"5279","Some College","Married","more 99999"
"5280","Some College","Married","more 99999"
"5281","High School","Married","65000-74999"
"5282","9 - 11th Grade","NeverMarried","20000-24999"
"5283","9 - 11th Grade","NeverMarried","20000-24999"
"5284","High School","NeverMarried","25000-34999"
"5285","Some College","NeverMarried","more 99999"
"5286","Some College","NeverMarried","more 99999"
"5287","Some College","NeverMarried","45000-54999"
"5288","Some College","Married","55000-64999"
"5289","Some College","Married","55000-64999"
"5290","High School","Divorced","20000-24999"
"5291","Some College","Married","45000-54999"
"5292","Some College","Married","45000-54999"
"5293","Some College","Married","45000-54999"
"5294","Some College","Married","45000-54999"
"5295","College Grad","Married","more 99999"
"5296","Some College","LivePartner","65000-74999"
"5297","Some College","NeverMarried","35000-44999"
"5298","Some College","NeverMarried","35000-44999"
"5299","College Grad","Married","more 99999"
"5300","College Grad","Married","more 99999"
"5301","College Grad","Married","more 99999"
"5302","Some College","Married","20000-24999"
"5303","High School","Married","<20000"
"5304","9 - 11th Grade","Married","55000-64999"
"5305","Some College","Married","<20000"
"5306","College Grad","Married","<20000"
"5307","High School","Married","45000-54999"
"5308","College Grad","Married","65000-74999"
"5309","Some College","Widowed","20000-24999"
"5310","High School","Married","75000-99999"
"5311","8th Grade","NeverMarried","<20000"
"5312","8th Grade","NeverMarried","<20000"
"5313","Some College","Married","35000-44999"
"5314","Some College","Married","more 99999"
"5315","High School","Married","more 99999"
"5316","High School","NeverMarried","<20000"
"5317","High School","NeverMarried","<20000"
"5318","High School","Married","75000-99999"
"5319","High School","Married","75000-99999"
"5320","Some College","Married","more 99999"
"5321","8th Grade","Separated","<20000"
"5322","College Grad","Married","<20000"
"5323","College Grad","Married","<20000"
"5324","High School","Married","more 99999"
"5325","Some College","Married","<20000"
"5326","Some College","Married","<20000"
"5327","Some College","Married","more 99999"
"5328","Some College","Married","more 99999"
"5329","Some College","Married","more 99999"
"5330","High School","Married","75000-99999"
"5331","Some College","NeverMarried","75000-99999"
"5332","Some College","NeverMarried","75000-99999"
"5333","Some College","Married","<20000"
"5334","Some College","Married","<20000"
"5335","College Grad","Married","65000-74999"
"5336","9 - 11th Grade","Married","75000-99999"
"5337","High School","Widowed","<20000"
"5338","College Grad","Married","75000-99999"
"5339","College Grad","Married","75000-99999"
"5340","Some College","NeverMarried","<20000"
"5341","Some College","Married","45000-54999"
"5342","8th Grade","Married","<20000"
"5343","9 - 11th Grade","NeverMarried","<20000"
"5344","Some College","Married","55000-64999"
"5345","Some College","Married","55000-64999"
"5346","College Grad","Married","more 99999"
"5347","College Grad","Married","more 99999"
"5348","College Grad","Married","more 99999"
"5349","College Grad","Married","more 99999"
"5350","Some College","Married","65000-74999"
"5351","College Grad","Married","65000-74999"
"5352","College Grad","Married","65000-74999"
"5353","9 - 11th Grade","LivePartner","55000-64999"
"5354","9 - 11th Grade","LivePartner","55000-64999"
"5355","9 - 11th Grade","LivePartner","55000-64999"
"5356","Some College","NeverMarried","45000-54999"
"5357","Some College","NeverMarried","45000-54999"
"5358","Some College","NeverMarried","45000-54999"
"5359","Some College","NeverMarried","45000-54999"
"5360","Some College","NeverMarried","45000-54999"
"5361","High School","Married","55000-64999"
"5362","High School","Married","55000-64999"
"5363","High School","Married","55000-64999"
"5364","High School","Married","<20000"
"5365","Some College","Married","25000-34999"
"5366","Some College","Married","25000-34999"
"5367","Some College","Married","25000-34999"
"5368","High School","Married","<20000"
"5369","High School","Divorced","more 99999"
"5370","High School","Divorced","more 99999"
"5371","High School","Divorced","more 99999"
"5372","High School","Divorced","more 99999"
"5373","High School","Divorced","more 99999"
"5374","Some College","Married","45000-54999"
"5375","College Grad","Married","75000-99999"
"5376","9 - 11th Grade","Married","25000-34999"
"5377","Some College","Married","65000-74999"
"5378","Some College","Divorced","75000-99999"
"5379","College Grad","Married","75000-99999"
"5380","College Grad","NeverMarried","more 99999"
"5381","College Grad","NeverMarried","more 99999"
"5382","8th Grade","Widowed","<20000"
"5383","8th Grade","Widowed","<20000"
"5384","8th Grade","Widowed","<20000"
"5385","College Grad","Married","75000-99999"
"5386","Some College","Married","<20000"
"5387","Some College","Divorced","35000-44999"
"5388","Some College","Separated","<20000"
"5389","College Grad","Married","more 99999"
"5390","College Grad","Married","55000-64999"
"5391","8th Grade","NeverMarried","<20000"
"5392","High School","Married","<20000"
"5393","Some College","Widowed","20000-24999"
"5394","Some College","Widowed","20000-24999"
"5395","College Grad","Married","more 99999"
"5396","College Grad","Married","more 99999"
"5397","College Grad","Married","more 99999"
"5398","Some College","NeverMarried","<20000"
"5399","College Grad","LivePartner","more 99999"
"5400","College Grad","LivePartner","more 99999"
"5401","College Grad","LivePartner","more 99999"
"5402","College Grad","LivePartner","more 99999"
"5403","Some College","LivePartner","more 99999"
"5404","Some College","LivePartner","more 99999"
"5405","Some College","Divorced","<20000"
"5406","Some College","Divorced","<20000"
"5407","Some College","Divorced","<20000"
"5408","College Grad","NeverMarried","35000-44999"
"5409","High School","NeverMarried","<20000"
"5410","8th Grade","Married","20000-24999"
"5411","Some College","Married","20000-24999"
"5412","College Grad","Married","more 99999"
"5413","College Grad","Married","more 99999"
"5414","College Grad","Married","more 99999"
"5415","College Grad","Married","75000-99999"
"5416","College Grad","Married","75000-99999"
"5417","Some College","NeverMarried","35000-44999"
"5418","Some College","NeverMarried","35000-44999"
"5419","Some College","Married","65000-74999"
"5420","Some College","Married","65000-74999"
"5421","Some College","Married","65000-74999"
"5422","High School","Widowed","<20000"
"5423","9 - 11th Grade","Married","35000-44999"
"5424","9 - 11th Grade","Married","35000-44999"
"5425","College Grad","Married","20000-24999"
"5426","College Grad","Divorced","20000-24999"
"5427","College Grad","Divorced","20000-24999"
"5428","College Grad","Divorced","20000-24999"
"5429","Some College","Divorced","more 99999"
"5430","Some College","Married","more 99999"
"5431","Some College","Married","more 99999"
"5432","Some College","Married","more 99999"
"5433","Some College","Married","more 99999"
"5434","Some College","Married","more 99999"
"5435","Some College","Married","more 99999"
"5436","Some College","Married","45000-54999"
"5437","Some College","Married","45000-54999"
"5438","Some College","Married","45000-54999"
"5439","High School","NeverMarried","35000-44999"
"5440","High School","NeverMarried","35000-44999"
"5441","High School","NeverMarried","35000-44999"
"5442","College Grad","NeverMarried","65000-74999"
"5443","Some College","NeverMarried","more 99999"
"5444","Some College","Married","25000-34999"
"5445","8th Grade","Married","75000-99999"
"5446","Some College","Divorced","65000-74999"
"5447","Some College","Divorced","65000-74999"
"5448","Some College","Divorced","65000-74999"
"5449","Some College","Divorced","25000-34999"
"5450","Some College","Divorced","25000-34999"
"5451","Some College","Widowed","20000-24999"
"5452","College Grad","NeverMarried","<20000"
"5453","College Grad","Widowed","25000-34999"
"5454","High School","Divorced","25000-34999"
"5455","High School","Divorced","25000-34999"
"5456","High School","Divorced","25000-34999"
"5457","High School","Divorced","25000-34999"
"5458","Some College","NeverMarried","25000-34999"
"5459","College Grad","Married","25000-34999"
"5460","Some College","Married","more 99999"
"5461","Some College","NeverMarried","more 99999"
"5462","High School","Divorced","<20000"
"5463","Some College","Married","20000-24999"
"5464","College Grad","Married","55000-64999"
"5465","College Grad","Married","55000-64999"
"5466","College Grad","Married","75000-99999"
"5467","Some College","Divorced","65000-74999"
"5468","Some College","Divorced","65000-74999"
"5469","College Grad","Married","more 99999"
"5470","Some College","Married","65000-74999"
"5471","Some College","Married","65000-74999"
"5472","Some College","LivePartner","75000-99999"
"5473","College Grad","LivePartner","75000-99999"
"5474","8th Grade","Widowed","25000-34999"
"5475","8th Grade","Widowed","25000-34999"
"5476","Some College","Married","65000-74999"
"5477","Some College","Widowed","45000-54999"
"5478","Some College","Widowed","45000-54999"
"5479","Some College","Widowed","45000-54999"
"5480","Some College","Widowed","45000-54999"
"5481","Some College","Widowed","45000-54999"
"5482","9 - 11th Grade","Married","<20000"
"5483","Some College","Married","25000-34999"
"5484","Some College","Married","35000-44999"
"5485","Some College","Married","35000-44999"
"5486","Some College","Married","65000-74999"
"5487","9 - 11th Grade","Married","65000-74999"
"5488","9 - 11th Grade","Married","65000-74999"
"5489","College Grad","Married","more 99999"
"5490","College Grad","Married","more 99999"
"5491","High School","Married","55000-64999"
"5492","Some College","Married","75000-99999"
"5493","Some College","Married","75000-99999"
"5494","Some College","Married","75000-99999"
"5495","College Grad","Married","75000-99999"
"5496","College Grad","Married","75000-99999"
"5497","College Grad","NeverMarried","more 99999"
"5498","College Grad","NeverMarried","more 99999"
"5499","College Grad","Married","more 99999"
"5500","High School","Divorced","<20000"
"5501","High School","Divorced","<20000"
"5502","College Grad","Married","35000-44999"
"5503","College Grad","Married","35000-44999"
"5504","High School","Separated","<20000"
"5505","Some College","Married","20000-24999"
"5506","Some College","Married","20000-24999"
"5507","Some College","Married","20000-24999"
"5508","Some College","Married","20000-24999"
"5509","Some College","Married","20000-24999"
"5510","8th Grade","Married","20000-24999"
"5511","High School","Married","35000-44999"
"5512","Some College","NeverMarried","more 99999"
"5513","Some College","NeverMarried","more 99999"
"5514","Some College","NeverMarried","more 99999"
"5515","Some College","NeverMarried","more 99999"
"5516","Some College","NeverMarried","<20000"
"5517","College Grad","Married","more 99999"
"5518","College Grad","Married","more 99999"
"5519","College Grad","Married","more 99999"
"5520","College Grad","Married","more 99999"
"5521","College Grad","Married","more 99999"
"5522","High School","Married","more 99999"
"5523","High School","Married","25000-34999"
"5524","9 - 11th Grade","Married","35000-44999"
"5525","9 - 11th Grade","Married","35000-44999"
"5526","9 - 11th Grade","Married","35000-44999"
"5527","Some College","Married","<20000"
"5528","High School","NeverMarried","25000-34999"
"5529","High School","NeverMarried","25000-34999"
"5530","High School","NeverMarried","25000-34999"
"5531","High School","NeverMarried","25000-34999"
"5532","Some College","Divorced","75000-99999"
"5533","8th Grade","Divorced","20000-24999"
"5534","High School","Married","20000-24999"
"5535","High School","Married","35000-44999"
"5536","9 - 11th Grade","Married","45000-54999"
"5537","College Grad","Married","more 99999"
"5538","College Grad","Married","more 99999"
"5539","College Grad","Married","more 99999"
"5540","College Grad","Married","more 99999"
"5541","College Grad","Married","more 99999"
"5542","Some College","LivePartner","75000-99999"
"5543","Some College","LivePartner","75000-99999"
"5544","Some College","LivePartner","75000-99999"
"5545","Some College","LivePartner","75000-99999"
"5546","Some College","LivePartner","75000-99999"
"5547","Some College","LivePartner","75000-99999"
"5548","Some College","NeverMarried","25000-34999"
"5549","Some College","Divorced","75000-99999"
"5550","Some College","LivePartner","more 99999"
"5551","Some College","LivePartner","more 99999"
"5552","Some College","Married","more 99999"
"5553","Some College","NeverMarried","20000-24999"
"5554","College Grad","Married","25000-34999"
"5555","College Grad","Married","25000-34999"
"5556","College Grad","Married","25000-34999"
"5557","Some College","Separated","<20000"
"5558","Some College","Married","75000-99999"
"5559","Some College","Married","75000-99999"
"5560","High School","Divorced","25000-34999"
"5561","9 - 11th Grade","Married","25000-34999"
"5562","9 - 11th Grade","Married","25000-34999"
"5563","College Grad","Married","65000-74999"
"5564","College Grad","Married","65000-74999"
"5565","College Grad","Married","65000-74999"
"5566","College Grad","Married","more 99999"
"5567","Some College","NeverMarried","55000-64999"
"5568","Some College","NeverMarried","55000-64999"
"5569","Some College","NeverMarried","<20000"
"5570","Some College","Married","75000-99999"
"5571","Some College","Married","more 99999"
"5572","Some College","Married","more 99999"
"5573","Some College","Married","more 99999"
"5574","Some College","Married","more 99999"
"5575","College Grad","Married","more 99999"
"5576","College Grad","Married","more 99999"
"5577","College Grad","NeverMarried","<20000"
"5578","High School","Married","35000-44999"
"5579","High School","Married","35000-44999"
"5580","High School","Married","35000-44999"
"5581","High School","Married","more 99999"
"5582","High School","Married","more 99999"
"5583","High School","NeverMarried","<20000"
"5584","College Grad","Married","more 99999"
"5585","Some College","Married","45000-54999"
"5586","Some College","Married","45000-54999"
"5587","High School","NeverMarried","75000-99999"
"5588","College Grad","LivePartner","more 99999"
"5589","College Grad","LivePartner","more 99999"
"5590","College Grad","LivePartner","more 99999"
"5591","College Grad","Married","25000-34999"
"5592","College Grad","Married","25000-34999"
"5593","College Grad","Married","25000-34999"
"5594","College Grad","Married","25000-34999"
"5595","High School","Married","55000-64999"
"5596","9 - 11th Grade","Married","<20000"
"5597","High School","Married","<20000"
"5598","College Grad","Married","45000-54999"
"5599","College Grad","Married","45000-54999"
"5600","8th Grade","Married","20000-24999"
"5601","8th Grade","Separated","<20000"
"5602","High School","NeverMarried","<20000"
"5603","Some College","Married","35000-44999"
"5604","9 - 11th Grade","LivePartner","35000-44999"
"5605","College Grad","Widowed","35000-44999"
"5606","High School","Divorced","<20000"
"5607","High School","Divorced","<20000"
"5608","College Grad","Married","more 99999"
"5609","College Grad","Married","more 99999"
"5610","College Grad","Married","more 99999"
"5611","College Grad","Married","more 99999"
"5612","Some College","NeverMarried","<20000"
"5613","High School","LivePartner","<20000"
"5614","Some College","Married","more 99999"
"5615","Some College","Married","more 99999"
"5616","Some College","Married","more 99999"
"5617","Some College","Married","more 99999"
"5618","Some College","Married","more 99999"
"5619","9 - 11th Grade","Married","20000-24999"
"5620","College Grad","Married","75000-99999"
"5621","College Grad","Married","more 99999"
"5622","Some College","Married","75000-99999"
"5623","Some College","Married","75000-99999"
"5624","Some College","Married","75000-99999"
"5625","Some College","Divorced","more 99999"
"5626","Some College","Married","more 99999"
"5627","Some College","Married","more 99999"
"5628","Some College","Married","65000-74999"
"5629","9 - 11th Grade","LivePartner","<20000"
"5630","Some College","Married","<20000"
"5631","College Grad","Divorced","<20000"
"5632","High School","Married","more 99999"
"5633","Some College","Married","75000-99999"
"5634","Some College","Married","75000-99999"
"5635","College Grad","Married","more 99999"
"5636","College Grad","Married","more 99999"
"5637","College Grad","Married","more 99999"
"5638","High School","LivePartner","35000-44999"
"5639","High School","LivePartner","35000-44999"
"5640","Some College","Married","45000-54999"
"5641","Some College","NeverMarried","<20000"
"5642","Some College","NeverMarried","<20000"
"5643","Some College","NeverMarried","<20000"
"5644","College Grad","NeverMarried","75000-99999"
"5645","College Grad","Married","65000-74999"
"5646","High School","Divorced","45000-54999"
"5647","9 - 11th Grade","Married","<20000"
"5648","8th Grade","Separated","75000-99999"
"5649","8th Grade","Separated","75000-99999"
"5650","High School","Divorced","45000-54999"
"5651","Some College","Married","<20000"
"5652","Some College","Married","<20000"
"5653","Some College","Married","more 99999"
"5654","Some College","Married","more 99999"
"5655","Some College","Married","more 99999"
"5656","High School","Married","35000-44999"
"5657","High School","Married","35000-44999"
"5658","College Grad","Married","more 99999"
"5659","High School","Divorced","35000-44999"
"5660","College Grad","Married","more 99999"
"5661","College Grad","Married","more 99999"
"5662","College Grad","Married","more 99999"
"5663","College Grad","Married","more 99999"
"5664","College Grad","Widowed","35000-44999"
"5665","9 - 11th Grade","Widowed","<20000"
"5666","8th Grade","Married","65000-74999"
"5667","College Grad","Married","45000-54999"
"5668","Some College","NeverMarried","<20000"
"5669","8th Grade","NeverMarried","35000-44999"
"5670","8th Grade","NeverMarried","35000-44999"
"5671","High School","NeverMarried","20000-24999"
"5672","9 - 11th Grade","Separated","25000-34999"
"5673","College Grad","NeverMarried","75000-99999"
"5674","Some College","Married","45000-54999"
"5675","College Grad","Married","more 99999"
"5676","College Grad","Married","more 99999"
"5677","College Grad","Married","more 99999"
"5678","College Grad","Married","more 99999"
"5679","College Grad","Married","more 99999"
"5680","9 - 11th Grade","Divorced","20000-24999"
"5681","9 - 11th Grade","Divorced","20000-24999"
"5682","College Grad","Married","25000-34999"
"5683","Some College","NeverMarried","25000-34999"
"5684","College Grad","Married","75000-99999"
"5685","College Grad","Married","more 99999"
"5686","College Grad","Married","more 99999"
"5687","College Grad","Married","more 99999"
"5688","College Grad","Married","more 99999"
"5689","Some College","Divorced","<20000"
"5690","Some College","Divorced","<20000"
"5691","Some College","NeverMarried","20000-24999"
"5692","College Grad","NeverMarried","more 99999"
"5693","Some College","Married","75000-99999"
"5694","Some College","Married","45000-54999"
"5695","9 - 11th Grade","Divorced","20000-24999"
"5696","9 - 11th Grade","Married","35000-44999"
"5697","College Grad","Married","more 99999"
"5698","Some College","Married","more 99999"
"5699","Some College","Married","more 99999"
"5700","College Grad","LivePartner","more 99999"
"5701","9 - 11th Grade","Divorced","<20000"
"5702","9 - 11th Grade","NeverMarried","<20000"
"5703","8th Grade","Married","65000-74999"
"5704","Some College","Divorced","20000-24999"
"5705","9 - 11th Grade","NeverMarried","25000-34999"
"5706","Some College","NeverMarried","more 99999"
"5707","Some College","NeverMarried","more 99999"
"5708","College Grad","Married","75000-99999"
"5709","College Grad","Married","75000-99999"
"5710","College Grad","Married","75000-99999"
"5711","College Grad","Married","75000-99999"
"5712","High School","NeverMarried","<20000"
"5713","8th Grade","NeverMarried","<20000"
"5714","8th Grade","NeverMarried","<20000"
"5715","8th Grade","NeverMarried","<20000"
"5716","8th Grade","NeverMarried","<20000"
"5717","Some College","NeverMarried","<20000"
"5718","Some College","NeverMarried","<20000"
"5719","Some College","NeverMarried","more 99999"
"5720","High School","NeverMarried","<20000"
"5721","High School","LivePartner","20000-24999"
"5722","9 - 11th Grade","Married","55000-64999"
"5723","Some College","Married","75000-99999"
"5724","Some College","Married","75000-99999"
"5725","College Grad","Married","75000-99999"
"5726","College Grad","NeverMarried","75000-99999"
"5727","College Grad","NeverMarried","75000-99999"
"5728","College Grad","Divorced","25000-34999"
"5729","College Grad","Divorced","25000-34999"
"5730","Some College","Married","45000-54999"
"5731","Some College","Married","more 99999"
"5732","College Grad","Married","35000-44999"
"5733","College Grad","Married","more 99999"
"5734","College Grad","Married","65000-74999"
"5735","Some College","Married","35000-44999"
"5736","Some College","Married","35000-44999"
"5737","Some College","Married","35000-44999"
"5738","Some College","Married","35000-44999"
"5739","Some College","Divorced","more 99999"
"5740","College Grad","Married","75000-99999"
"5741","8th Grade","Married","75000-99999"
"5742","Some College","Married","<20000"
"5743","Some College","Married","<20000"
"5744","Some College","NeverMarried","45000-54999"
"5745","8th Grade","NeverMarried","20000-24999"
"5746","College Grad","Married","more 99999"
"5747","College Grad","Married","more 99999"
"5748","Some College","Married","more 99999"
"5749","Some College","Married","more 99999"
"5750","High School","Married","35000-44999"
"5751","High School","Married","35000-44999"
"5752","High School","Widowed","65000-74999"
"5753","8th Grade","Married","65000-74999"
"5754","Some College","Separated","25000-34999"
"5755","Some College","Separated","25000-34999"
"5756","Some College","Separated","25000-34999"
"5757","College Grad","Divorced","35000-44999"
"5758","College Grad","Divorced","35000-44999"
"5759","College Grad","Divorced","35000-44999"
"5760","College Grad","Divorced","35000-44999"
"5761","High School","Married","25000-34999"
"5762","College Grad","Married","75000-99999"
"5763","High School","Divorced","20000-24999"
"5764","High School","Divorced","20000-24999"
"5765","Some College","NeverMarried","55000-64999"
"5766","College Grad","Married","more 99999"
"5767","College Grad","Married","more 99999"
"5768","College Grad","Married","more 99999"
"5769","College Grad","Married","more 99999"
"5770","College Grad","NeverMarried","45000-54999"
"5771","College Grad","NeverMarried","45000-54999"
"5772","College Grad","NeverMarried","45000-54999"
"5773","College Grad","NeverMarried","45000-54999"
"5774","Some College","Divorced","<20000"
"5775","8th Grade","LivePartner","20000-24999"
"5776","8th Grade","Married","35000-44999"
"5777","Some College","Married","55000-64999"
"5778","College Grad","NeverMarried","more 99999"
"5779","College Grad","NeverMarried","more 99999"
"5780","College Grad","NeverMarried","more 99999"
"5781","Some College","Married","25000-34999"
"5782","Some College","Married","<20000"
"5783","High School","Divorced","45000-54999"
"5784","High School","Divorced","45000-54999"
"5785","High School","Divorced","45000-54999"
"5786","High School","Divorced","45000-54999"
"5787","9 - 11th Grade","LivePartner","<20000"
"5788","Some College","Married","45000-54999"
"5789","College Grad","Married","more 99999"
"5790","College Grad","Married","more 99999"
"5791","College Grad","Married","more 99999"
"5792","College Grad","Married","more 99999"
"5793","College Grad","Married","more 99999"
"5794","9 - 11th Grade","NeverMarried","<20000"
"5795","Some College","NeverMarried","<20000"
"5796","College Grad","NeverMarried","45000-54999"
"5797","9 - 11th Grade","NeverMarried","20000-24999"
"5798","9 - 11th Grade","NeverMarried","20000-24999"
"5799","College Grad","Married","75000-99999"
"5800","College Grad","Married","75000-99999"
"5801","College Grad","Married","75000-99999"
"5802","College Grad","Married","75000-99999"
"5803","High School","Separated","<20000"
"5804","8th Grade","Widowed","<20000"
"5805","Some College","Married","more 99999"
"5806","High School","Married","more 99999"
"5807","8th Grade","NeverMarried","<20000"
"5808","9 - 11th Grade","Married","<20000"
"5809","8th Grade","Divorced","<20000"
"5810","Some College","Married","more 99999"
"5811","High School","Married","<20000"
"5812","High School","Married","<20000"
"5813","Some College","Divorced","more 99999"
"5814","High School","Married","<20000"
"5815","High School","Married","<20000"
"5816","High School","Married","<20000"
"5817","8th Grade","Married","45000-54999"
"5818","Some College","Married","more 99999"
"5819","Some College","Married","more 99999"
"5820","Some College","Married","75000-99999"
"5821","Some College","Married","75000-99999"
"5822","Some College","Married","75000-99999"
"5823","Some College","Married","75000-99999"
"5824","Some College","Married","75000-99999"
"5825","Some College","Married","75000-99999"
"5826","Some College","Married","75000-99999"
"5827","Some College","Married","more 99999"
"5828","Some College","Married","more 99999"
"5829","9 - 11th Grade","Divorced","25000-34999"
"5830","9 - 11th Grade","Divorced","25000-34999"
"5831","9 - 11th Grade","Divorced","25000-34999"
"5832","9 - 11th Grade","Divorced","25000-34999"
"5833","9 - 11th Grade","Divorced","25000-34999"
"5834","9 - 11th Grade","NeverMarried","20000-24999"
"5835","9 - 11th Grade","NeverMarried","20000-24999"
"5836","High School","NeverMarried","more 99999"
